1230 0 1230 0.1 1.0 "Veldspar"
17470 5 1230 0.1 1.0 "Concentrated Veldspar"
17471 10 1230 0.1 1.0 "Dense Veldspar"
1228 0 1228 0.15 1.0 "Scordite"
17463 5 1228 0.15 1.0 "Condensed Scordite"
17464 10 1228 0.15 1.0 "Massive Scordite"
1224 0 1224 0.3 0.9 "Pyroxeres"
17459 5 1224 0.3 0.9 "Solid Pyroxeres"
17460 10 1224 0.3 0.9 "Viscous Pyroxeres"
18 0 18 0.35 0.9 "Plagioclase"
17455 5 18 0.35 0.9 "Azure Plagioclase"
17456 10 18 0.35 0.9 "Rich Plagioclase"
1227 0 1227 0.6 0.7 "Omber"
17867 5 1227 0.6 0.7 "Silvery Omber"
17868 10 1227 0.6 0.7 "Golden Omber"
20 0 20 1.2 0.7 "Kernite"
17452 5 20 1.2 0.7 "Luminous Kernite"
17453 10 20 1.2 0.7 "Fiery Kernite"
1226 0 1226 2 0.4 "Jaspet"
17448 5 1226 2 0.4 "Pure Jaspet"
17449 10 1226 2 0.4 "Pristine Jaspet"
1231 0 1231 3 0.2 "Hemorphite"
17444 5 1231 3 0.2 "Vivid Hemorphite"
17445 10 1231 3 0.2 "Radiant Hemorphite"
21 0 21 3 0.2 "Hedbergite"
17440 5 21 3 0.2 "Vitric Hedbergite"
17441 10 21 3 0.2 "Glazed Hedbergite"
1229 0 1229 5 0.0 "Gneiss"
17865 5 1229 5 0.0 "Iridescent Gneiss"
17866 10 1229 5 0.0 "Prismatic Gneiss"
1232 0 1232 8 0.0 "Dark Ochre"
19 0 19 16 0.0 "Spodumain"
17466 5 19 16 0.0 "Bright Spodumain"
17467 10 19 16 0.0 "Gleaming Spodumain"
1225 0 1225 16 0.0 "Crokite"
17432 5 1225 16 0.0 "Sharp Crokite"
17433 10 1225 16 0.0 "Crystalline Crokite"
1223 0 1223 16 0.0 "Bistot"
17428 5 1223 16 0.0 "Triclinic Bistot"
17429 10 1223 16 0.0 "Monoclinic Bistot"
22 0 22 16 0.0 "Arkonor"
17425 5 22 16 0.0 "Crimson Arkonor"
17426 10 22 16 0.0 "Prime Arkonor"
11396 0 11396 40 0.0 "Mercoxit"
17869 5 11396 40 0.0 "Magma Mercoxit"
17870 10 11396 40 0.0 "Vitreous Mercoxit"
